flexeme_id,inflection_class,lila_id_lemma,lila_id_ipolemma,hasInflectionType
a0643,0,87514,,v1r
a0645,69,87516,,v4d
a0646,0,87517,,v1r
a0647,82,87518,,v4d
a0648,0,87519,,v1r
a0653,1,87525,,v1r
a0662,1,87535,,v1r
a0662_2,1,87535,,v1r
a0668,1,87542,,v1r
a0668_2,1,87542,,v1r
a0669,83,87543,,v2r
a0669_2,84,87543,,v2r
a0676,85,87551,,v3r
a0676_2,85,87551,,v3r
a0679,12,87554,,v1d
a0680,0,87556,,v1r
a0682,17,87558,,v4r
a0682_2,18,87558,,v4r
a0683,86,87559,,v4d
a0684,26,87560,,v2r
a0684_2,26,87560,,v2r
a0690,87,87566,,v2r
a0690_2,,87566,,v2r
a0690_3,,87566,,v2r
a0692,88,87568,,v2r
a0692_2,88,87568,,v2r
a0692_3,64,87568,,v2r
a0692_4,64,87568,,v2r
a0693,17,87569,,v4r
a0693_2,18,87569,,v4r
a0694,0,87570,,v2r
a0695,37,87571,,v4r
a0697,1,87574,,v1r
a0698,1,87575,,v1r
a0699,0,87576,,v1r
a0700,1,87577,,v1r
a0700_2,1,87577,,v1r
a0701,1,87578,,v1r
a0701_2,1,87578,,v1r
a0703,89,87580,,v3r
a0703_2,89,87580,,v3r
a0704,1,87581,,v1r
a0707,0,87584,,v1r
a0707_2,0,87584,,v1r
a0708,51,87585,,v3d
a0708_2,51,87585,,v3d
a0708_3,90,87585,,v3d
a0708_4,90,87585,,v3d
a0709,1,87586,,v1r
a0709_2,1,87586,,v1r
a0710,1,87587,,v1r
a0710_2,1,87587,,v1r
a0710_3,1,87587,,v1r
a0716,1,87594,,v1r
a0716_2,1,87594,,v1r
a0717,0,87595,,v1r
a0717_2,0,87595,,v1r
a0718,1,87596,,v1r
a0718_2,1,87596,,v1r
a0719,1,87597,,v1r
a0719_2,1,87597,,v1r
a0721,39,87599,,v3r
a0721_2,39,87599,,v3r
a0722,0,87600,,v1r
a0722_2,0,87600,,v1r
a0723,37,87601,,v4r
a0723_2,37,87601,,v4r
a0724,39,87602,,v3r
a0727,63,87605,,v3r
a0727_2,66,87605,,v3r
a0727_3,3,87605,,v3r
a0727_4,91,87605,,v3r
a0729,67,87607,,v4r
a0730,12,87608,,v1d
a0732,72,87610,,v1d
a0733,69,87611,,v4d
a0740,1,87620,,v1r
a0740_2,1,87620,,v1r
a0748,1,87628,,v1r
a0751,92,87632,,v4r
a0751_2,,87632,,v4r
a0752,1,87633,,v1r
a0753,1,87634,,v1r
a0754,12,87635,,v1d
a0757,28,87638,,v3r
a0757_2,28,87638,,v3r
a0758,1,87639,,v1r
a0758_2,1,87639,,v1r
a0759,1,87640,,v1r
a0760,39,87641,,v3r
a0760_2,39,87641,,v3r
a0761,47,87642,,v6r
a0761_2,48,87642,,v6r
a0764,1,87645,,v1r
a0766,46,87647,,v3r
a0766_2,93,87647,,v3r
