id,inflection_class,pattern
703,103,622
704,103,834
705,103,883
706,103,924
707,104,1
708,104,51
709,104,401
710,105,2
711,106,722
712,107,1
713,107,160
714,107,277
715,107,509
716,107,628
717,107,924
718,108,1
719,108,161
720,108,278
721,108,510
722,108,629
723,108,924
724,109,0
725,109,30
726,109,117
727,109,235
728,109,380
729,109,467
730,109,586
731,109,851
732,109,899
733,109,924
734,110,0
735,110,30
736,110,162
737,110,279
738,110,380
739,110,511
740,110,630
741,110,826
742,110,874
743,110,924
744,111,1
745,111,28
746,111,163
747,111,280
748,111,378
749,111,512
750,111,631
751,111,836
752,111,885
753,111,924
754,112,2
755,112,130
756,112,246
757,112,513
758,112,632
759,112,924
760,113,164
761,114,714
762,114,726
763,114,754
764,114,780
765,114,807
766,114,924
767,115,0
768,115,32
769,115,382
770,116,1
771,116,52
772,116,402
773,117,714
774,117,727
775,117,755
776,117,781
777,117,808
778,117,924
779,118,1
780,118,20
781,118,122
782,118,240
783,118,369
784,118,472
785,118,591
786,118,852
787,118,900
788,118,924
789,119,2
790,119,53
791,119,127
792,119,244
793,119,403
794,119,478
795,119,596
796,119,827
797,119,875
798,119,924
799,120,1
800,120,54
801,120,165
802,120,281
803,120,404
804,120,514
805,120,633
806,120,832
807,120,881
808,120,924
809,121,714
810,121,728
811,121,756
812,121,782
813,121,809
814,121,924
815,122,1
816,122,25
817,122,119
818,122,237
819,122,368
820,122,469
821,122,588
822,122,833
823,122,882
824,122,924
825,123,1
826,123,25
827,123,118
828,123,237
829,123,368
830,123,468
831,123,588
832,123,826
833,123,882
834,123,925
835,124,1
836,124,25
837,124,118
838,124,236
839,124,368
840,124,468
841,124,587
842,124,826
843,124,874
844,124,924
845,125,13
846,126,1
847,126,18
848,126,366
849,127,840
850,127,888
851,127,924
852,128,3
853,128,55
854,128,145
855,128,262
856,128,405
857,128,474
858,128,594
859,128,827
860,128,875
861,128,924
862,129,471
863,130,1
864,130,154
865,130,271
866,130,503
867,130,622
868,130,924
869,131,714
870,132,0
871,132,14
872,132,166
873,132,282
874,132,362
875,132,515
876,132,634
877,132,840
878,132,888
879,132,924
880,133,1
881,133,56
882,133,167
883,133,283
884,133,406
885,133,516
886,133,635
887,133,834
888,133,883
889,133,924
890,134,714
891,134,729
892,134,757
893,134,783
894,134,810
895,134,924
896,135,1
897,135,19
898,135,159
899,135,367
900,135,508
901,135,834
902,136,715
903,136,730
904,136,758
905,136,784
906,136,811
907,136,924
908,137,1
909,137,15
910,137,284
911,137,363
912,137,636
913,137,882
914,138,1
915,138,57
916,138,168
917,138,285
918,138,407
919,138,517
920,138,637
921,138,833
922,138,882
923,138,924
924,139,0
925,139,58
926,139,408
927,140,1
928,140,59
929,140,169
930,140,286
931,140,409
932,140,518
933,140,638
934,140,834
935,140,883
936,140,924
937,141,1
938,141,60
939,141,170
940,141,287
941,141,410
942,141,519
943,141,639
944,141,834
945,141,883
946,141,924
947,142,1
948,142,118
949,142,236
950,142,468
951,142,587
952,142,924
953,143,2
954,143,118
955,143,236
956,143,474
957,143,594
958,143,924
959,144,1
960,144,29
961,144,248
962,144,379
963,144,600
964,144,883
965,145,1
966,145,61
967,145,171
968,145,288
969,145,411
970,145,520
971,145,640
972,145,845
973,145,893
974,145,924
975,146,1
976,146,62
977,146,119
978,146,237
979,146,412
980,146,469
981,146,588
982,146,826
983,146,874
984,146,924
985,147,63
986,147,119
987,147,237
988,147,829
989,147,877
990,147,924
991,148,0
992,148,30
993,148,172
994,148,289
995,148,380
996,148,521
997,148,641
998,148,833
999,148,882
1000,148,924
1001,149,1
1002,149,64
1003,149,173
1004,149,290
1005,149,413
1006,149,522
1007,149,642
1008,149,834
1009,149,883
1010,149,924
1011,150,1
1012,150,122
1013,150,240
1014,150,472
1015,150,591
1016,150,924
1017,151,2
1018,151,62
1019,151,119
1020,151,237
1021,151,368
1022,151,468
1023,151,587
1024,151,826
1025,151,874
1026,151,924
1027,152,2
1028,152,63
1029,152,119
1030,152,237
1031,152,369
1032,152,468
1033,152,587
1034,152,829
1035,152,877
1036,152,924
1037,153,0
1038,153,65
1039,153,152
1040,153,269
1041,153,414
1042,153,501
1043,153,620
1044,153,834
1045,153,883
1046,153,924
1047,154,1
1048,154,20
1049,154,118
1050,154,237
1051,154,369
1052,154,468
1053,154,588
1054,154,829
1055,154,879
1056,154,925
1057,155,1
1058,155,66
1059,155,174
1060,155,291
1061,155,415
1062,155,523
1063,155,643
1064,155,827
1065,155,875
1066,155,924
1067,156,3
1068,156,12
1069,156,368
1070,157,1
1071,157,11
1072,157,361
1073,158,1
1074,158,67
1075,158,175
1076,158,292
1077,158,416
1078,158,524
1079,158,644
1080,158,827
1081,158,875
1082,158,924
1083,159,853
1084,159,901
1085,159,924
1086,160,3
1087,160,68
1088,160,176
1089,160,293
1090,160,417
1091,160,525
1092,160,645
1093,160,834
1094,160,883
1095,160,924
1096,161,1
1097,161,69
1098,161,177
1099,161,294
1100,161,418
1101,161,526
1102,161,646
1103,161,832
1104,161,881
1105,161,924
1106,162,0
1107,162,70
1108,162,178
1109,162,295
1110,162,419
1111,162,527
