flexeme_id,inflection_class,lila_id_lemma,hasInflectionType,gender
a0560_272,18,87428,v4r,
a0561_273,71,87429,v2r,
a0564_274,1,87432,v1r,
a0565_275,26,87433,v2r,
a0567_276,17,87435,v4r,
a0567_277,18,87435,v4r,
a0573_278,72,87441,v1d,
a0574_279,1,87442,v1r,
a0577_280,10,87445,v2r,
a0585_281,15,87453,v3r,
a0586_282,13,87454,v5r,
a0586_283,56,87454,v5r,
a0588_284,73,87456,v3r,
a0589_285,74,87457,v2r,
a0592_286,3,87460,v3r,
a0593_287,3,87461,v3r,
a0594_288,0,87462,v1r,
a0595_289,3,87463,v3r,
a0596_290,75,87464,v5d,
a0597_291,3,87465,v3r,
a0598_292,0,87466,v1r,
a0599_293,3,87467,v3r,
a0600_294,76,87468,v4r,
a0603_295,1,87471,v1r,
a0607_296,77,87476,v3d,
a0614_297,1,87484,v1r,
a0615_298,0,87485,v1r,
a0617_299,1,87487,v1r,
a0617_300,1,87487,v1r,
a0618_301,1,87488,v1r,
a0623_302,16,87493,v3r,
a0628_303,1,87498,v1r,
a0630_304,1,87501,v1r,
a0630_305,1,87501,v1r,
a0630_306,1,87501,v1r,
a0639_307,78,87510,v1r,
a0639_308,540,87510,v1r,
a0640_310,81,87511,v2e,
a0641_311,0,87512,v1r,
a0643_312,0,87514,v1r,
a0645_313,69,87516,v4d,
a0646_314,0,87517,v1r,
a0647_315,82,87518,v4d,
a0648_316,0,87519,v1r,
a0653_317,1,87525,v1r,
a0662_318,1,87535,v1r,
a0662_319,1,87535,v1r,
a0668_320,1,87542,v1r,
a0668_321,1,87542,v1r,
a0669_322,83,87543,v2r,
a0669_323,84,87543,v2r,
a0676_324,85,87551,v3r,
a0676_325,85,87551,v3r,
a0679_326,12,87554,v1d,
a0680_327,0,87556,v1r,
a0682_328,17,87558,v4r,
a0682_329,18,87558,v4r,
a0683_330,86,87559,v4d,
a0684_331,26,87560,v2r,
a0684_332,26,87560,v2r,
a0690_333,87,87566,v2r,
a0690_334,,87566,v2r,
a0690_335,,87566,v2r,
a0692_336,88,87568,v2r,
a0692_337,88,87568,v2r,
a0692_338,64,87568,v2r,
a0692_339,64,87568,v2r,
a0693_340,17,87569,v4r,
a0693_341,18,87569,v4r,
